1,297,0,0,74,100,0,0,0,0
1,298,0,0,74,100,0,0,0,0
1,299,0,0,74,100,0,0,0,0
1,300,0,0,74,100,0,0,0,0
1,301,0,0,74,100,0,0,0,0
1,302,0,0,74,100,0,0,0,0
1,303,0,0,74,100,0,0,0,0
1,304,0,0,74,100,0,0,0,0
1,305,0,0,74,100,0,0,0,0
1,306,0,0,74,100,0,0,0,0
1,307,0,0,74,100,0,0,0,0
1,308,0,0,74,100,0,0,0,0
1,309,0,0,74,100,0,0,0,0
1,310,0,0,74,100,0,0,0,0
1,311,0,0,74,100,0,0,0,0
1,312,0,0,74,100,0,0,0,0
1,313,0,0,74,100,0,0,0,0
1,314,0,0,74,100,0,0,0,0
1,315,0,0,74,100,0,0,0,0
1,316,0,0,74,100,0,0,0,0
1,317,0,0,74,100,0,0,0,0
1,318,0,0,74,100,0,0,0,0
1,319,0,0,74,100,0,0,0,0
1,320,0,0,74,100,0,0,0,0
1,321,0,0,74,100,0,0,0,0
1,322,0,0,74,100,0,0,0,0
1,323,0,0,74,100,0,0,0,0
1,324,0,0,74,100,0,0,0,0
1,325,0,0,74,100,0,0,0,0
1,326,0,0,74,100,0,0,0,0
1,327,0,0,74,100,0,0,0,0
1,328,0,0,74,100,0,0,0,0
1,329,0,0,74,100,0,0,0,0
1,330,0,0,74,100,0,0,0,0
1,331,0,0,74,100,0,0,0,0
1,332,0,0,74,100,0,0,0,0
1,333,0,0,74,100,0,0,0,0
1,334,0,0,74,100,0,0,0,0
1,335,0,0,74,100,0,0,0,0
1,336,0,0,74,100,0,0,0,0
1,337,0,0,74,100,0,0,0,0
1,338,0,0,74,100,0,0,0,0
1,339,0,0,74,100,0,0,0,0
1,340,0,0,74,100,0,0,0,0
1,341,0,0,74,100,0,0,0,0
1,342,0,0,74,100,0,0,0,0
1,343,0,0,74,100,0,0,0,0
1,344,0,0,74,100,0,0,0,0
1,345,0,0,74,100,0,0,0,0
1,346,0,0,74,100,0,0,0,0
1,347,0,0,74,100,0,0,0,0
1,348,0,0,74,100,0,0,0,0
1,349,0,0,74,100,0,0,0,0
1,350,0,0,74,100,0,0,0,0
1,351,0,0,74,100,0,0,0,0
1,352,0,0,74,100,0,0,0,0
1,353,0,0,74,100,0,0,0,0
1,354,0,0,74,100,0,0,0,0
1,355,0,0,74,100,0,0,0,0
1,356,0,0,74,100,0,0,0,0
1,357,0,0,74,100,0,0,0,0
1,358,0,0,74,100,0,0,0,0
1,359,0,0,74,100,0,0,0,0
1,360,0,0,74,100,0,0,0,0
1,361,0,0,74,100,0,0,0,0
1,362,0,0,74,100,0,0,0,0
1,363,0,0,74,100,0,0,0,0
1,364,0,0,74,100,0,0,0,0
1,365,0,0,74,100,0,0,0,0
1,366,0,0,74,100,0,0,0,0
1,367,0,0,74,100,0,0,0,0
1,368,0,0,74,100,0,0,0,0
1,369,0,0,74,100,0,0,0,0
1,370,0,0,74,100,0,0,0,0
1,371,0,0,74,100,0,0,0,0
1,372,0,0,74,100,0,0,0,0
1,373,0,0,74,100,0,0,0,0
1,374,0,0,74,100,0,0,0,0
1,375,0,0,74,100,0,0,0,0
1,376,0,0,74,100,0,0,0,0
1,377,0,0,74,100,0,0,0,0
1,378,0,0,74,100,0,0,0,0
1,379,0,0,74,100,0,0,0,0
1,380,0,0,74,100,0,0,0,0
1,381,0,0,74,100,0,0,0,0
1,382,0,0,74,100,0,0,0,0
1,383,0,0,74,100,0,0,0,0
1,384,0,0,74,100,0,0,0,0
1,385,0,0,74,100,0,0,0,0
1,386,0,0,74,100,0,0,0,0
1,387,0,0,74,100,0,0,0,0
1,388,0,0,74,100,0,0,0,0
1,389,0,0,74,100,0,0,0,0
1,390,0,0,74,100,0,0,0,0
1,391,0,0,74,100,0,0,0,0
1,392,0,0,74,100,0,0,0,0
1,393,0,0,74,100,0,0,0,0
1,394,0,0,74,100,0,0,0,0
1,395,0,0,74,100,0,0,0,0
1,396,0,0,74,100,0,0,0,0
1,397,0,0,74,100,0,0,0,0
1,398,0,0,74,100,0,0,0,0
1,399,0,0,74,100,0,0,0,0
1,400,0,0,74,100,0,0,0,0
1,401,0,0,74,100,0,0,0,0
1,402,0,0,74,100,0,0,0,0
1,403,0,0,74,100,0,0,0,0
1,404,0,0,74,100,0,0,0,0
1,405,0,0,74,100,0,0,0,0
1,406,0,0,74,100,0,0,0,0
1,407,0,0,74,100,0,0,0,0
1,408,0,0,74,100,0,0,0,0
1,409,0,0,74,100,0,0,0,0
1,410,0,0,74,100,0,0,0,0
1,411,0,0,74,100,0,0,0,0
1,412,0,0,74,100,0,0,0,0
1,413,0,0,74,100,0,0,0,0
1,414,0,0,74,100,0,0,0,0
1,415,0,0,74,100,0,0,0,0
1,416,0,0,74,100,0,0,0,0
1,417,0,0,74,100,0,0,0,0
1,418,0,0,74,100,0,0,0,0
1,419,0,0,74,100,0,0,0,0
1,420,0,0,74,100,0,0,0,0
1,421,0,0,74,100,0,0,0,0
1,422,0,0,74,100,0,0,0,0
1,423,0,0,74,100,0,0,0,0
1,424,0,0,74,100,0,0,0,0
1,425,0,0,74,100,0,0,0,0
1,426,0,0,74,100,0,0,0,0
1,427,0,0,74,100,0,0,0,0
1,428,0,0,74,100,0,0,0,0
1,429,0,0,74,100,0,0,0,0
1,430,0,0,74,100,0,0,0,0
1,431,0,0,74,100,0,0,0,0
1,432,0,0,74,100,0,0,0,0
1,433,0,0,74,100,0,0,0,0
1,434,0,0,74,100,0,0,0,0
1,435,0,0,74,100,0,0,0,0
1,436,0,0,74,100,0,0,0,0
1,437,0,0,74,100,0,0,0,0
1,438,0,0,74,100,0,0,0,0
1,439,0,0,74,100,0,0,0,0
1,440,0,0,74,100,0,0,0,0
1,441,0,0,74,100,0,0,0,0
1,442,0,0,74,100,0,0,0,0
1,443,0,0,74,100,0,0,0,0
1,444,0,0,74,100,0,0,0,0
1,445,0,0,74,100,0,0,0,0
1,446,0,0,74,100,0,0,0,0
1,447,0,0,74,100,0,0,0,0
1,448,0,0,74,100,0,0,0,0
1,449,0,0,74,100,0,0,0,0
1,450,0,0,74,100,0,0,0,0
1,451,0,0,74,100,0,0,0,0
1,452,0,0,74,100,0,0,0,0
1,453,0,0,74,100,0,0,0,0
1,454,0,0,74,100,0,0,0,0
1,455,0,0,74,100,0,0,0,0
1,456,0,0,74,100,0,0,0,0
1,457,0,0,74,100,0,0,0,0
1,458,0,0,74,100,0,0,0,0
1,459,0,0,74,100,0,0,0,0
1,460,0,0,74,100,0,0,0,0
1,461,0,0,74,100,0,0,0,0
1,462,0,0,74,100,0,0,0,0
1,463,0,0,74,100,0,0,0,0
1,464,0,0,74,100,0,0,0,0
1,465,0,0,74,100,0,0,0,0
1,466,0,0,74,100,0,0,0,0
1,467,0,0,74,100,0,0,0,0
1,468,0,0,74,100,0,0,0,0
1,469,0,0,74,100,0,0,0,0
1,470,0,0,74,100,0,0,0,0
1,471,0,0,74,100,0,0,0,0
1,472,0,0,74,100,0,0,0,0
1,473,0,0,74,100,0,0,0,0
1,474,0,0,74,100,0,0,0,0
1,475,0,0,74,100,0,0,0,0
1,476,0,0,74,100,0,0,0,0
1,477,0,0,74,100,0,0,0,0
1,478,0,0,74,100,0,0,0,0
1,479,0,0,74,100,0,0,0,0
1,480,0,0,74,100,0,0,0,0
1,481,0,0,74,100,0,0,0,0
1,482,0,0,74,100,0,0,0,0
1,483,0,0,74,100,0,0,0,0
1,484,0,0,74,100,0,0,0,0
1,485,0,0,74,100,0,0,0,0
1,486,0,0,74,100,0,0,0,0
1,487,0,0,74,100,0,0,0,0
1,488,0,0,74,100,0,0,0,0
1,489,0,0,74,100,0,0,0,0
1,490,0,0,74,100,0,0,0,0
1,491,0,0,74,100,0,0,0,0
1,492,0,0,74,100,0,0,0,0
1,493,0,0,74,100,0,0,0,0
1,494,0,0,74,100,0,0,0,0
1,495,0,0,74,100,0,0,0,0
1,496,0,0,74,100,0,0,0,0
1,497,0,0,74,100,0,0,0,0
1,498,0,0,74,100,0,0,0,0
1,499,0,0,74,100,0,0,0,0
1,500,0,0,74,100,0,0,0,0
1,501,0,0,74,100,0,0,0,0
1,502,0,0,74,100,0,0,0,0
1,503,0,0,74,100,0,0,0,0
1,504,0,0,74,100,0,0,0,0
1,505,0,0,74,100,0,0,0,0
1,506,0,0,74,100,0,0,0,0
1,507,0,0,74,100,0,0,0,0
1,508,0,0,74,100,0,0,0,0
1,509,0,0,74,100,0,0,0,0
1,510,0,0,74,100,0,0,0,0
1,511,0,0,74,100,0,0,0,0
1,512,0,0,74,100,0,0,0,0
1,513,0,0,74,100,0,0,0,0
1,514,0,0,74,100,0,0,0,0
1,515,0,0,74,100,0,0,0,0
1,516,0,0,74,100,0,0,0,0
1,517,0,0,74,100,0,0,0,0
1,518,0,0,74,100,0,0,0,0
1,519,0,0,74,100,0,0,0,0
1,520,0,0,74,100,0,0,0,0
1,521,0,0,74,100,0,0,0,0
1,522,0,0,74,100,0,0,0,0
1,523,0,0,74,100,0,0,0,0
1,524,0,0,74,100,0,0,0,0
1,525,0,0,74,100,0,0,0,0
1,526,0,0,74,100,0,0,0,0
1,527,0,0,74,100,0,0,0,0
1,528,0,0,74,100,0,0,0,0
1,529,0,0,74,100,0,0,0,0
1,530,0,0,74,100,0,0,0,0
1,531,0,0,74,100,0,0,0,0
1,532,0,0,74,100,0,0,0,0
1,533,0,0,74,100,0,0,0,0
1,534,0,0,74,100,0,0,0,0
1,535,0,0,74,100,0,0,0,0
1,536,0,0,74,100,0,0,0,0
1,537,0,0,74,100,0,0,0,0
1,538,0,0,74,100,0,0,0,0
1,539,0,0,74,100,0,0,0,0
1,540,0,0,74,100,0,0,0,0
1,541,0,0,74,100,0,0,0,0
1,542,0,0,74,100,0,0,0,0
1,543,0,0,74,100,0,0,0,0
1,544,0,0,74,100,0,0,0,0
1,545,0,0,74,100,0,0,0,0
1,546,0,0,74,100,0,0,0,0
1,547,0,0,74,100,0,0,0,0
1,548,0,0,74,100,0,0,0,0
1,549,0,0,74,100,0,0,0,0
1,550,0,0,74,100,0,0,0,0
1,551,0,0,74,100,0,0,0,0
1,552,0,0,74,100,0,0,0,0
1,553,0,0,74,100,0,0,0,0
1,554,0,0,74,100,0,0,0,0
1,555,0,0,74,100,0,0,0,0
1,556,0,0,74,100,0,0,0,0
1,557,0,0,74,100,0,0,0,0
1,558,0,0,74,100,0,0,0,0
1,559,0,0,74,100,0,0,0,0
1,560,0,0,74,100,0,0,0,0
1,561,0,0,74,100,0,0,0,0
1,562,0,0,74,100,0,0,0,0
1,563,0,0,74,100,0,0,0,0
1,564,0,0,74,100,0,0,0,0
1,565,0,0,74,100,0,0,0,0
1,566,0,0,74,100,0,0,0,0
1,567,0,0,74,100,0,0,0,0
1,568,0,0,74,100,0,0,0,0
1,569,0,0,74,100,0,0,0,0
1,570,0,0,74,100,0,0,0,0
1,571,0,0,74,100,0,0,0,0
1,572,0,0,74,100,0,0,0,0
1,573,0,0,74,100,0,0,0,0
1,574,0,0,74,100,0,0,0,0
1,575,0,0,74,100,0,0,0,0
1,576,0,0,74,100,0,0,0,0
1,577,0,0,74,100,0,0,0,0
1,578,0,0,74,100,0,0,0,0
1,579,0,0,74,100,0,0,0,0
1,580,0,0,74,100,0,0,0,0
1,581,0,0,74,100,0,0,0,0
1,582,0,0,74,100,0,0,0,0
1,583,0,0,74,100,0,0,0,0
1,584,0,0,74,100,0,0,0,0
1,585,0,0,74,100,0,0,0,0
1,586,0,0,74,100,0,0,0,0
1,587,0,0,74,100,0,0,0,0
1,588,0,0,74,100,0,0,0,0
1,589,0,0,74,100,0,0,0,0
1,590,0,0,74,100,0,0,0,0
1,591,0,0,74,100,0,0,0,0
1,592,0,0,74,100,0,0,0,0
1,593,0,0,74,100,0,0,0,0
1,594,0,0,74,100,0,0,0,0
1,595,0,0,74,100,0,0,0,0
1,596,0,0,74,100,0,0,0,0
1,597,0,0,74,100,0,0,0,0
1,598,0,0,74,100,0,0,0,0
1,599,0,0,74,100,0,0,0,0
